created_at,entry_id,field1,field2,field3,field4,field5,field6
2024-03-18 06:00:36 UTC,67158,57.00,19.40,2988.00,,,
2024-03-18 06:01:27 UTC,67159,57.00,19.40,2760.00,,,
2024-03-18 06:02:21 UTC,67160,57.00,19.40,3055.00,,,
2024-03-18 06:03:12 UTC,67161,57.00,19.40,3021.00,,,
2024-03-18 06:04:03 UTC,67162,57.00,19.40,3021.00,,,
2024-03-18 06:04:54 UTC,67163,57.00,19.40,3021.00,,,
2024-03-18 06:05:50 UTC,67164,57.00,19.40,2709.00,,,
2024-03-18 06:06:42 UTC,67165,58.00,19.40,2864.00,,,
2024-03-18 06:07:33 UTC,67166,58.00,19.40,2681.00,,,
2024-03-18 06:08:24 UTC,67167,58.00,19.40,2850.00,,,
2024-03-18 06:09:18 UTC,67168,58.00,19.40,2880.00,,,
2024-03-18 06:10:09 UTC,67169,58.00,19.40,2623.00,,,
2024-03-18 06:11:00 UTC,67170,58.00,19.40,2957.00,,,
2024-03-18 06:11:55 UTC,67171,58.00,19.40,2880.00,,,
2024-03-18 06:12:48 UTC,67172,58.00,19.40,3036.00,,,
2024-03-18 06:13:43 UTC,67173,58.00,19.40,3002.00,,,
2024-03-18 06:14:40 UTC,67174,58.00,19.10,2880.00,,,
2024-03-18 06:15:31 UTC,67175,58.00,19.00,3144.00,,,
2024-03-18 06:16:25 UTC,67176,58.00,19.00,3189.00,,,
2024-03-18 06:17:16 UTC,67177,58.00,19.00,3204.00,,,
2024-03-18 06:18:08 UTC,67178,58.00,19.00,3256.00,,,
2024-03-18 06:18:59 UTC,67179,58.00,19.00,3297.00,,,
2024-03-18 06:19:54 UTC,67180,58.00,19.00,3204.00,,,
2024-03-18 06:20:45 UTC,67181,58.00,19.00,3256.00,,,
2024-03-18 06:21:36 UTC,67182,58.00,19.00,3225.00,,,
2024-03-18 06:22:29 UTC,67183,58.00,19.00,3204.00,,,
2024-03-18 06:23:22 UTC,67184,58.00,19.00,3165.00,,,
2024-03-18 06:24:13 UTC,67185,59.00,19.00,3090.00,,,
2024-03-18 06:25:04 UTC,67186,59.00,18.70,3036.00,,,
2024-03-18 06:26:03 UTC,67187,59.00,18.70,2968.00,,,
2024-03-18 06:26:56 UTC,67188,59.00,18.60,2864.00,,,
2024-03-18 06:27:47 UTC,67189,59.00,18.60,2775.00,,,
2024-03-18 06:28:42 UTC,67190,60.00,18.60,2589.00,,,
2024-03-18 06:29:33 UTC,67191,60.00,18.60,2654.00,,,
2024-03-18 06:30:25 UTC,67192,60.00,18.60,2336.00,,,
2024-03-18 06:31:18 UTC,67193,60.00,18.60,2502.00,,,
2024-03-18 06:32:09 UTC,67194,60.00,18.60,2365.00,,,
2024-03-18 06:33:01 UTC,67195,61.00,18.60,2304.00,,,
2024-03-18 06:33:53 UTC,67196,61.00,18.30,2345.00,,,
2024-03-18 06:34:44 UTC,67197,61.00,18.20,2322.00,,,
2024-03-18 06:35:35 UTC,67198,61.00,18.20,2287.00,,,
2024-03-18 06:36:28 UTC,67199,61.00,18.20,2287.00,,,
2024-03-18 06:37:21 UTC,67200,61.00,18.20,2185.00,,,
2024-03-18 06:38:14 UTC,67201,61.00,18.20,2116.00,,,
2024-03-18 06:39:06 UTC,67202,62.00,18.20,2280.00,,,
2024-03-18 06:39:58 UTC,67203,62.00,18.20,2287.00,,,
2024-03-18 06:40:56 UTC,67204,62.00,18.20,2365.00,,,
2024-03-18 06:41:47 UTC,67205,62.00,18.20,2397.00,,,
2024-03-18 06:42:40 UTC,67206,62.00,18.20,2469.00,,,
2024-03-18 06:43:32 UTC,67207,62.00,18.20,2397.00,,,
2024-03-18 06:44:27 UTC,67208,62.00,18.20,2502.00,,,
2024-03-18 06:45:18 UTC,67209,61.00,18.20,2418.00,,,
2024-03-18 06:46:09 UTC,67210,62.00,18.20,2409.00,,,
2024-03-18 06:47:04 UTC,67211,62.00,18.20,2418.00,,,
2024-03-18 06:47:58 UTC,67212,62.00,18.20,2409.00,,,
2024-03-18 06:48:52 UTC,67213,62.00,18.20,2397.00,,,
2024-03-18 06:49:43 UTC,67214,62.00,18.20,2388.00,,,
2024-03-18 06:50:35 UTC,67215,62.00,18.00,2378.00,,,
2024-03-18 06:51:28 UTC,67216,62.00,17.90,2397.00,,,
